地区,名称,户型,面积,价格
东城,绿景馨园,2室1厅,77,8000
东城,万国城MOMA,2室1厅,115,20000
东城,和平新城一期,2室1厅,122,14500
东城,和平里三区,1室1厅,46,6500
东城,东四三条,2室1厅,35,6000
东城,青年湖南街6号院,2室1厅,58,9500
东城,凯德华玺,2房间1卫,73,12000
东城,广渠家园,1室1厅,51,5500
东城,国瑞城西区,3室1厅,251,36800
东城,灯市口西街,3室1厅,83,12000
东城,六铺炕,1室1厅,38,6200
东城,北官厅胡同,1室1厅,35,6200
东城,安馨园,1室1厅,61,9500
东城,青年湖北里,2室1厅,62,8500
东城,骑河楼大街,1室1厅,41,6500
东城,左安漪园,2室1厅,95,10000
东城,本家润园三期,2室1厅,70,7500
东城,幸福南里,3室1厅,66,5950
东城,西水井胡同,3室1厅,87,12500
东城,天坛西里东区,2室1厅,56,5000
东城,本家润园三期,2室1厅,63,8100
东城,华世隆国际公寓,3室1厅,155,18000
东城,大菊胡同,3室0厅,64,30000
东城,朝阳首府,2室1厅,87,14000
东城,朝阳门南小街,3室1厅,85,12500
东城,南弓匠营胡同,3室1厅,84,13000
东城,史家胡同20号院,2室0厅,51,8000
东城,东环居苑,1室1厅,60,6500
东城,自由季,1房间1卫,55,5800
东城,香饵胡同,3室1厅,80,14000
东城,中海紫御公馆,2室2厅,90,13000
东城,左安漪园,3室1厅,112,8800
东城,国瑞城东区,3室1厅,94,12500
东城,金世纪嘉园,1室1厅,68,7000
东城,长安太和,1室1厅,105,25000
东城,民安小区东直门北中街,3室1厅,113,17000
东城,西营房,2室1厅,89,9200
东城,兴隆都市馨园,1室2厅,72,8500
东城,绿景馨园,2室1厅,51,6300
东城,国瑞城西区,2室1厅,107,18000
东城,保利蔷薇,2室1厅,88,10300
东城,和平里七区,1室1厅,38,6000
东城,前门前,2室1厅,80,11000
东城,灯市口西街,3室1厅,77,13000
东城,绿景苑,1室0厅,29,4700
东城,林调社区,3室1厅,70,7600
东城,海运仓胡同3号院,2室1厅,67,7500
东城,海运仓小区,3室1厅,83,14000
东城,宝润苑,3室2厅,211,21000
东城,望陶园小区,2室1厅,88,6800
东城,万国城MOMA,1室0厅,59,9500
东城,北官厅胡同,2室1厅,53,8500
东城,花市枣苑一期,2室1厅,117,12000
东城,花市东三条,2室1厅,54,6500
东城,体育馆路13号,1室1厅,45,5700
东城,烧酒胡同3号院,3室1厅,114,17000
东城,和平里三区,1室1厅,40,6900
东城,青年湖北里,2室1厅,54,7800
东城,富贵园三区,2室1厅,76,8000
东城,东中街,4室1厅,107,14000
东城,左安浦园,1室0厅,39,5200
东城,灵光胡同,3室1厅,66,8200
东城,华府景园,3室2厅,173,18000
东城,万国城MOMA,3室2厅,225,35000
东城,忠实里四巷,2室1厅,53,6000
东城,鼎盛园,1室1厅,69,6200
东城,前门东大街,1室0厅,37,5500
东城,柏林寺西,2室1厅,60,7200
东城,东花市北里中区,2室1厅,57,6800
东城,前门前,3房间1卫,109,12000
东城,东华门大街,3室1厅,71,12600
东城,复康南里,2室1厅,47,5800
东城,十字坡西里,2室1厅,55,7600
东城,交道口北三条,1室1厅,14,3600
东城,芳嘉园胡同,2室1厅,72,9600
东城,富贵园三区,1室1厅,63,6500
东城,李村,2室1厅,62,5700
东城,小羊宜宾胡同,2室1厅,59,7800
东城,永定门外大街,2室1厅,50,5500
东城,城市亮点,1室1厅,45,4800
东城,前门前酒店公寓,3房间1卫,102,9500
东城,海晟名苑,1室1厅,70,12000
东城,东直门南大街,2室1厅,61,8500
东城,崇文门西大街,2室0厅,48,7600
东城,新景家园西区,2室1厅,85,9500
东城,贡院九号,3室1厅,177,25000
东城,新奥洋房,1室1厅,44,5200
东城,水上华城,3室1厅,166,16500
东城,恒基中心,1房间0卫,200,45000
东城,恒基中心,1房间0卫,199,45000
东城,太华公寓,3室2厅,233,25000
东城,安化南里,1室1厅,60,5500
东城,新太仓一巷,6室0厅,103,45000
东城,凯景铭座,4室1厅,178,22000
东城,雍和家园一期,3室2厅,202,25000
东城,兴隆都市馨园,1室0厅,28,5000
东城,建国门北大街5号,4室1厅,277,47000
东城,国瑞城西区,4室2厅,258,38000
东城,太华公寓,2室1厅,150,18000
东城,安定路,2室1厅,59,6900
东城,万国城MOMA,3室2厅,140,19000
东城,安外大街3号院,1室1厅,33,5500
东城,北总布胡同,1室1厅,51,5000
东城,织染局胡同,5室0厅,43,30000
东城,永康胡同5号院,2室1厅,57,8300
东城,和平里六区,3室1厅,123,13000
东城,东皇城根南街,2室2厅,80,11500
东城,鸿安国际大厦,4室2厅,242,30000
东城,雍和家园二期,2室2厅,186,42000
东城,沙滩后街,2室1厅,51,8300
东城,京宝花园,1室1厅,117,11500
东城,东板桥西巷,2室1厅,52,5800
东城,美术馆后街,3室1厅,76,12000
东城,幸福家园一期,5室2厅,226,29000
东城,沙滩北街2号院,2室1厅,50,7200
东城,东中街,4室1厅,107,14000
东城,官书院,3室1厅,122,16000
东城,西营房,2室1厅,54,7200
东城,灵光胡同,3室1厅,66,8200
东城,左安浦园,1室0厅,39,5200
东城,新怡家园,3室1厅,156,21000
东城,望陶园小区,2室2厅,89,8000
东城,禾风相府,3室2厅,163,30000
东城,交道口北三条,1室1厅,14,3600
东城,烧酒胡同3号院,3室1厅,114,17000
东城,聚龙花园,2室1厅,195,35000
东城,天坛西里东区,3室1厅,68,7000
东城,聚龙花园,3室1厅,239,30000
东城,美惠大厦,3室1厅,195,22000
东城,西总布胡同,1室1厅,45,7000
东城,贡院九号,2室1厅,144,24000
东城,和平里三区,1室1厅,40,6900
东城,青年湖北里,2室1厅,54,7800
东城,富贵园三区,2室1厅,76,8000
东城,朝阳门内大街75号院,3室1厅,98,13000
东城,沙滩后街55号院,1室1厅,33,5800
东城,安外大街3号院,2室1厅,51,6800
东城,雍和家园一期,3室1厅,202,25000
东城,雍和家园一期,3室1厅,171,19000
东城,雍和家园一期,4室1厅,202,25000
东城,朝阳首府,3室1厅,183,28000
东城,花市枣苑三期,1室0厅,50,6400
东城,灯市口西街,3室1厅,83,12000
东城,六铺炕,1室1厅,38,6200
东城,和平里七区,1室1厅,38,6000
东城,新景家园西区,2室1厅,85,9500
东城,东华门大街,3室1厅,71,12600
东城,复康南里,2室1厅,47,5800
东城,东花市北里中区,2室1厅,57,6800
东城,前门前,3房间1卫,109,12000
东城,东交民巷30号院,3室1厅,105,9000
东城,地坛北门,1室1厅,33,6000
东城,前门前酒店公寓,3房间1卫,102,9500
东城,国瑞城西区,1室0厅,61,11500
东城,万国城MOMA,2室1厅,115,20000
东城,东四块玉南街,2室1厅,52,5800
东城,崇文门东大街,2室1厅,61,6800
东城,东四二条11号院,2室1厅,53,7600
东城,万国城MOMA,2室1厅,127,18000
东城,兴隆都市馨园,1室0厅,40,6500
东城,国瑞城西区,2室1厅,106,18000
东城,交道口东大街,1室1厅,82,10000
东城,和平里三区,1室1厅,40,5700
东城,鼎盛园,1室1厅,69,6200
东城,前门东大街,1室0厅,37,5500
东城,崇文门西大街,2室0厅,48,7600
东城,东直门南大街,2室1厅,61,8500
东城,豆瓣胡同,2室1厅,71,9200
东城,自由季,1房间1卫,51,5800
东城,富贵园三区,1室1厅,63,6500
东城,李村,2室1厅,62,5700
东城,宇飞大厦,2房间2卫,55,15500
东城,永定门外大街,2室1厅,50,5500
东城,海运仓胡同3号院,2室1厅,50,8000
东城,新怡家园,1室0厅,52,9000
东城,和平里三区,1室1厅,40,5000
东城,北新桥三条,3室1厅,55,8000
东城,新中西街,1室1厅,41,5500
东城,富贵园一区,2室1厅,87,11500
东城,鼓楼东大街,2室1厅,31,9000
东城,富贵园四区,1室1厅,55,7700
东城,京禧阁,2室1厅,127,14000
东城,左安漪园,3室2厅,123,10000
东城,中剪子巷,2室1厅,50,7000
东城,新景家园西区,1室1厅,61,7300
东城,交道口东大街,3室1厅,93,10500
东城,杨家园西里,2室1厅,54,6000
东城,和平里七区,2室1厅,68,7800
东城,地兴居,2室1厅,57,7500
东城,李村东里,2室1厅,57,6000
东城,盛德大厦,3室1厅,145,23000
东城,安化北里,2室1厅,69,7000
东城,恒基中心,2室1厅,107,14000
东城,白米仓胡同,6室0厅,117,40000
东城,东方银座,3室1厅,138,23000
东城,天玉大厦,1房间0卫,220,33000
东城,华普花园,3室2厅,176,23000
东城,万国城MOMA,3室2厅,241,37000
东城,幸福家园三期,2室1厅,96,12500
东城,盛德大厦,2室1厅,106,18000
东城,雅宝公寓,4室2厅,300,45000
东城,兴隆都市馨园,1室1厅,93,15000
东城,冠城名敦道,1室0厅,79,13000
东城,冠城名敦道,1室0厅,76,11000
