Classic Espresso Drinks,58
Coffee,4
Frappuccino® Blended Coffee,36
Frappuccino® Blended Crème,13
Frappuccino® Light Blended Coffee,12
Shaken Iced Beverages,18
Signature Espresso Drinks,40
Smoothies,9
Tazo® Tea Drinks,52
